report_id,title,organization,year,source_type,url,collection,tags,priority,status,evidence_level,reason_added,accessed_date,notes
anthropic-effective-agents-2024,"Building Effective Agents",Anthropic,2024,"engineering guide",https://www.anthropic.com/engineering/building-effective-agents,heterogeneous-agent-harnesses,"orchestration;orchestrator-worker;evaluator-optimizer;complexity",high,queued,"practice-based guide","Canonical architecture patterns and warning to add complexity only when it improves outcomes",2026-08-23,"Not peer reviewed; based on Anthropic and customer experience"
anthropic-multi-agent-research-2025,"How We Built Our Multi-Agent Research System",Anthropic,2025,"production system report",https://www.anthropic.com/engineering/multi-agent-research-system,heterogeneous-agent-harnesses,"multi-agent;orchestrator-worker;heterogeneous-models;parallelism;cost",high,queued,"measured production system","Best public production account of a strong lead model coordinating cheaper workers",2026-08-23,"Internal evaluation and publisher-controlled metrics"
anthropic-effective-long-running-2025,"Effective Harnesses for Long-Running Agents",Anthropic,2025,"engineering experiment",https://www.anthropic.com/engineering/effective-harnesses-for-long-running-agents,heterogeneous-agent-harnesses,"long-horizon;handoff;context;initializer;coding",medium,candidate,"engineering experiment","Structured inter-session handoffs and role separation for long-running work",2026-08-23,"Separate prompts but otherwise same model and harness"
anthropic-harness-design-2026,"Harness Design for Long-Running Application Development",Anthropic,2026,"engineering experiment",https://www.anthropic.com/engineering/harness-design-long-running-apps,heterogeneous-agent-harnesses,"planner;generator;evaluator;cost;long-horizon",high,queued,"engineering experiment","Planner-generator-evaluator harness with published phase-level cost and duration",2026-08-23,"Small number of application-building experiments"
anthropic-c-compiler-2026,"Building a C Compiler with a Team of Parallel Claudes",Anthropic,2026,"engineering experiment",https://www.anthropic.com/engineering/building-c-compiler,heterogeneous-agent-harnesses,"parallel-agents;coding;specialization;cost;testing",high,queued,"engineering experiment","Large autonomous agent-team artifact with explicit scale and total cost",2026-08-23,"No controlled single-agent or heterogeneous-model comparison"
anthropic-managed-agents-2026,"Scaling Managed Agents: Decoupling the Brain from the Hands",Anthropic,2026,"production infrastructure report",https://www.anthropic.com/engineering/managed-agents,heterogeneous-agent-harnesses,"harness;sandbox;session;latency;infrastructure",medium,candidate,"measured production infrastructure","Stable harness-session-sandbox abstractions and measured serving latency improvements",2026-08-23,"Addresses infrastructure rather than role-model allocation"
anthropic-containment-2026,"How We Contain Claude Across Products",Anthropic,2026,"production safety report",https://www.anthropic.com/engineering/how-we-contain-claude,heterogeneous-agent-harnesses,"safety;tool-results;small-model;containment;permissions",medium,reference,"production case study","Concrete use of a small fast model for a specialized safety role",2026-08-23,"Narrow safety allocation pattern"
openai-practical-agents-2025,"A Practical Guide to Building AI Agents",OpenAI,2025,"engineering guide",https://openai.com/business/guides-and-resources/a-practical-guide-to-building-ai-agents/,heterogeneous-agent-harnesses,"model-selection;manager;handoffs;evals;cost",high,queued,"practice-based guide","Explicit strongest-model baseline followed by eval-driven substitution of smaller models",2026-08-23,"Guidance distilled from customer deployments; not a comparative study"
openai-harness-engineering-2026,"Harness Engineering: Leveraging Codex in an Agent-First World",OpenAI,2026,"production case study",https://openai.com/index/harness-engineering/,heterogeneous-agent-harnesses,"coding-agents;harness;feedback-loops;environment;decomposition",high,queued,"production case study","Internal agent-built product and lessons about scaffolding feedback and repository design",2026-08-23,"Publisher estimates rather than controlled experiment"
openai-inhouse-data-agent-2026,"Inside OpenAI's In-House Data Agent",OpenAI,2026,"production case study",https://openai.com/index/inside-our-in-house-data-agent/,heterogeneous-agent-harnesses,"enterprise;data-agent;context;memory;evals",medium,candidate,"production case study","Real enterprise agent with context memory permissions and continuous evaluation",2026-08-23,"No direct heterogeneous-model comparison"
openai-builder-gpt56-2026,"The Builder's Guide to GPT-5.6",OpenAI,2026,"model and systems guide",https://openai.com/index/builders-guide-to-gpt-5-6/,heterogeneous-agent-harnesses,"model-selection;multi-agent;compaction;programmatic-tools;cost",medium,candidate,"vendor guide with selected measurements","Current techniques for efficient multi-agent orchestration and deterministic offloading",2026-08-23,"Model-specific and contains customer-selected claims"
cognition-devin-fusion-2026,"Devin Fusion",Cognition,2026,"multi-model system report",https://cognition.com/blog/devin-fusion,heterogeneous-agent-harnesses,"heterogeneous-models;frontier-agent;sidekick;delegation;dynamic-routing;cost",high,queued,"vendor benchmark","Closest industry implementation of frontier planning and review with cheaper delegated execution",2026-08-23,"FrontierCode is Cognition's benchmark and figures are publisher-controlled"
cognition-multi-agents-working-2026,"Multi-Agents: What's Actually Working",Cognition,2026,"engineering lessons",https://cognition.com/blog/multi-agents-working,heterogeneous-agent-harnesses,"multi-agent;context;write-conflicts;coordination;delegation",medium,candidate,"production-informed qualitative report","Candid failure modes involving context divergence and conflicting implicit decisions",2026-08-23,"Qualitative company experience"
microsoft-agent-host-2026,"Choice of Agent Host",Microsoft,2026,"architecture guidance",https://learn.microsoft.com/en-us/agents/architecture/host-platform,heterogeneous-agent-harnesses,"harness;model-routing;per-step-selection;cost;latency",high,queued,"practice-based architecture guidance","Direct recommendation to reserve frontier models for hard steps and use cheaper models for bounded work",2026-08-23,"Guidance rather than an evaluated system comparison"
microsoft-model-router-agents-2026,"Use Model Router with Foundry Agents",Microsoft,2026,"product documentation",https://learn.microsoft.com/en-us/azure/foundry/openai/how-to/model-router-agents,heterogeneous-agent-harnesses,"model-routing;per-turn;tool-use;cost;multi-agent",high,queued,"product documentation","Concrete per-turn routing across cheap mid-tier and frontier models inside agent sessions",2026-08-23,"Establishes capability existence; savings depend on workload and router"
aws-bedrock-cost-optimization-2025,"Effective Cost Optimization Strategies for Amazon Bedrock",AWS,2025,"engineering guidance",https://aws.amazon.com/blogs/machine-learning/effective-cost-optimization-strategies-for-amazon-bedrock/,heterogeneous-agent-harnesses,"cost;multi-agent;specialization;model-selection;supervisor",high,queued,"practice-based vendor guidance","Exact recommendation to match model capability to specialized agent role and use a lightweight supervisor",2026-08-23,"No controlled role-allocation evaluation"
aws-agentops-2026,"AgentOps: Operationalize Agentic AI at Scale with Amazon Bedrock AgentCore",AWS,2026,"reference architecture",https://aws.amazon.com/blogs/machine-learning/agentops-operationalize-agentic-ai-at-scale-with-amazon-bedrock-agentcore/,heterogeneous-agent-harnesses,"operations;observability;budgets;evaluation;governance;multi-agent",high,queued,"reference architecture and field guidance","Realistic operational variables for production evaluation of agent teams",2026-08-23,"AWS implementation examples; not agent-design evidence"
google-agentic-patterns-2026,"Choose a Design Pattern for Your Agentic AI System",Google Cloud,2026,"architecture guidance",https://docs.cloud.google.com/architecture/choose-design-pattern-agentic-ai-system,heterogeneous-agent-harnesses,"design-patterns;multi-agent;hierarchy;cost;latency",high,queued,"reference architecture","Explicit comparison of single-agent coordinator hierarchical and collaborative patterns",2026-08-23,"General guidance without comparative measurements"
google-enterprise-orchestration-2025,"Agentic AI Use Case: Orchestrate Access to Disparate Enterprise Systems",Google Cloud,2025,"reference architecture",https://docs.cloud.google.com/architecture/agenticai-orchestrate-access-disparate-systems,heterogeneous-agent-harnesses,"enterprise;orchestrator;mcp;state;observability;security",medium,candidate,"reference architecture","Production-oriented enterprise workflow architecture with state tools identity and observability",2026-08-23,"Target architecture rather than measured outcome report"
google-graphrag-orchestration-2026,"Agentic AI Use Case: Multimodal GraphRAG Resource Orchestration",Google Cloud,2026,"reference architecture",https://docs.cloud.google.com/architecture/agentic-ai-multimodal-graph-rag-resource-orchestration,heterogeneous-agent-harnesses,"model-scaling;small-model;high-capacity-model;multi-agent;routing",medium,candidate,"reference architecture","Explicit granular model scaling across specialized agents based on task complexity",2026-08-23,"Reference design rather than controlled evaluation"
langchain-agent-engineering-2025,"State of Agent Engineering",LangChain,2025,"industry survey",https://www.langchain.com/state-of-agent-engineering,heterogeneous-agent-harnesses,"survey;production;adoption;evaluation;observability",medium,reference,"practitioner survey","Original practitioner data about deployed use cases tools evaluation and obstacles",2026-08-23,"Self-selected sample with ecosystem and respondent bias"
